rank,name,link,symbol,feixiaohao,volume-usd,website,chat,date,exchangeNumber
34,BitShares,https://coinmarketcap.com/currencies/bitshares/,BTS,https://www.feixiaohao.com/currencies/bitshares/,16832500.0,https://bitshares.org,https://t.me/BitSharesDEX,2014-07-19,21
35,Siacoin,https://coinmarketcap.com/currencies/siacoin/,SC,https://www.feixiaohao.com/currencies/siacoin/,14035800.0,https://sia.tech/,https://discord.gg/sia,2015-07-03,11
36,Bytom,https://coinmarketcap.com/currencies/bytom/,BTM,https://www.feixiaohao.com/currencies/bytom/,45487400.0,http://bytom.io/,"https://t.me/BytomInternational , https://t.me/bytomchinese",2017-08-09,20
37,Augur,https://coinmarketcap.com/currencies/augur/,REP,https://www.feixiaohao.com/currencies/augur/,41639400.0,http://www.augur.net/,,2016-10-04,23
38,Wanchain,https://coinmarketcap.com/currencies/wanchain/,WAN,https://www.feixiaohao.com/currencies/wanchain/,10469700.0,https://wanchain.org/,"https://t.me/WanchainANN , https://t.me/WanchainCHAT",2018-03-24,3
39,Waves,https://coinmarketcap.com/currencies/waves/,WAVES,https://www.feixiaohao.com/currencies/waves/,25790800.0,https://wavesplatform.com/,"https://telegram.me/wavesnews , http://wavesplatform.herokuapp.com/",2016-05-31,18
40,Populous,https://coinmarketcap.com/currencies/populous/,PPT,https://www.feixiaohao.com/currencies/populous/,38066500.0,http://populous.co/,"https://bitpopulous.slack.com/ , https://t.me/joinchat/HeQm1Ugjn32zhpJyBza8OA",2017-07-11,11
41,Stratis,https://coinmarketcap.com/currencies/stratis/,STRAT,https://www.feixiaohao.com/currencies/stratis/,8692220.0,http://stratisplatform.com/,"https://t.me/StratisPlatform , https://discordapp.com/invite/9tDyfZs",2016-08-06,10
42,Bitcoin Diamond,https://coinmarketcap.com/currencies/bitcoin-diamond/,BCD,https://www.feixiaohao.com/currencies/bitcoin-diamond/,2465250.0,http://btcd.io/,"https://t.me/BCDcommunity , https://bitcoindiamonds.slack.com/",2017-11-25,1
43,RChain,https://coinmarketcap.com/currencies/rchain/,RHOC,https://www.feixiaohao.com/currencies/rchain/,831804.0,https://www.rchain.coop/,,2017-10-07,5
44,Maker,https://coinmarketcap.com/currencies/maker/,MKR,https://www.feixiaohao.com/currencies/maker/,68039.7,https://makerdao.com/,,,8
45,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,https://www.feixiaohao.com/currencies/dogecoin/,14187900.0,http://dogecoin.com/,https://discord.me/dogecoin/,2013-12-12,52
46,Bitcoin Private,https://coinmarketcap.com/currencies/bitcoin-private/,BTCP,https://www.feixiaohao.com/currencies/bitcoin-private/,576541.0,https://btcprivate.org,https://discord.gg/eGuQQUR,2018-03-11,3
47,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,GNT,https://www.feixiaohao.com/currencies/golem-network-tokens/,15401200.0,https://golem.network/,,2016-11-11,26
48,IOStoken,https://coinmarketcap.com/currencies/iostoken/,IOST,https://www.feixiaohao.com/currencies/iostoken/,42981800.0,http://iost.io/,https://t.me/officialios,2018-01-16,0
49,DigixDAO,https://coinmarketcap.com/currencies/digixdao/,DGD,https://www.feixiaohao.com/currencies/digixdao/,2928030.0,"https://digix.global/ , https://digix.io",,2016-03-01,12
50,Status,https://coinmarketcap.com/currencies/status/,SNT,https://www.feixiaohao.com/currencies/status/,33356600.0,http://status.im/,https://chat.status.im/#/register,2017-06-29,31
51,Hshare,https://coinmarketcap.com/currencies/hshare/,HSR,https://www.feixiaohao.com/currencies/hshare/,43470300.0,https://h.cash/,,2017-08-21,25
52,DigiByte,https://coinmarketcap.com/currencies/digibyte/,DGB,https://www.feixiaohao.com/currencies/digibyte/,2644840.0,http://www.digibyte.io/,https://t.me/DigiByteCoin,2014-01-14,17
53,Basic Attention Token,https://coinmarketcap.com/currencies/basic-attention-token/,BAT,https://www.feixiaohao.com/currencies/basic-attention-token/,8334800.0,https://basicattentiontoken.org/,,2017-05-31,17
54,Aion,https://coinmarketcap.com/currencies/aion/,AION,https://www.feixiaohao.com/currencies/aion/,3730840.0,https://aion.network/,"https://t.me/aion_blockchain , https://discordapp.com/invite/srU4qbS",2017-10-19,7
55,Waltonchain,https://coinmarketcap.com/currencies/waltonchain/,WTC,https://www.feixiaohao.com/currencies/waltonchain/,6747240.0,http://www.waltonchain.org/,https://t.me/waltonchain_en,,0
56,Loopring,https://coinmarketcap.com/currencies/loopring/,LRC,https://www.feixiaohao.com/currencies/loopring/,20476500.0,https://loopring.org,https://loopring.rocket.chat/,2017-08-31,20
57,Mixin,https://coinmarketcap.com/currencies/mixin/,XIN,https://www.feixiaohao.com/currencies/mixin/,611507.0,https://mixin.one/,,2018-01-09,1
58,Nebulas,https://coinmarketcap.com/currencies/nebulas-token/,NAS,https://www.feixiaohao.com/currencies/nebulas-token/,34297000.0,https://nebulas.io/,https://t.me/nebulasio,,0
59,Ark,https://coinmarketcap.com/currencies/ark/,ARK,https://www.feixiaohao.com/currencies/ark/,2555210.0,http://ark.io/,https://ark.io/slack,2017-05-24,11
60,Komodo,https://coinmarketcap.com/currencies/komodo/,KMD,https://www.feixiaohao.com/currencies/komodo/,4366710.0,https://komodoplatform.com/,https://telegram.me/KomodoPlatform_Official,,6
61,aelf,https://coinmarketcap.com/currencies/aelf/,ELF,https://www.feixiaohao.com/currencies/aelf/,48270600.0,http://aelf.io/,https://t.me/aelfblockchain,2017-12-22,19
62,Ardor,https://coinmarketcap.com/currencies/ardor/,ARDR,https://www.feixiaohao.com/currencies/ardor/,1323990.0,https://www.ardorplatform.org/,https://nxtplatform.org/slack/,,6
63,Loom Network,https://coinmarketcap.com/currencies/loom-network/,LOOM,https://www.feixiaohao.com/currencies/loom-network/,8342200.0,https://loomx.io/,https://t.me/loomnetwork,2018-03-15,6
64,PIVX,https://coinmarketcap.com/currencies/pivx/,PIVX,https://www.feixiaohao.com/currencies/pivx/,2252050.0,http://www.pivx.org,,2016-01-30,10
65,Dentacoin,https://coinmarketcap.com/currencies/dentacoin/,DCN,https://www.feixiaohao.com/currencies/dentacoin/,322970.0,http://www.dentacoin.com/,https://t.me/dentacoin,2017-08-12,7
66,KuCoin Shares,https://coinmarketcap.com/currencies/kucoin-shares/,KCS,https://www.feixiaohao.com/currencies/kucoin-shares/,438304.0,https://www.kucoin.com/,,2017-10-25,0
67,WaykiChain,https://coinmarketcap.com/currencies/waykichain/,WICC,https://www.feixiaohao.com/currencies/waykichain/,13000500.0,"http://waykichain.com/ , http://waykichain.net/",https://t.me/waykichain,2018-01-09,9
68,Mithril,https://coinmarketcap.com/currencies/mithril/,MITH,https://www.feixiaohao.com/currencies/mithril/,42969700.0,https://mith.io/,https://t.me/mithrilchat,2018-03-25,0
69,FunFair,https://coinmarketcap.com/currencies/funfair/,FUN,https://www.feixiaohao.com/currencies/funfair/,7622360.0,https://funfair.io/,"https://t.me/FunFair_Official , https://discordapp.com/invite/rwETqSP",2017-06-28,14
70,Kyber Network,https://coinmarketcap.com/currencies/kyber-network/,KNC,https://www.feixiaohao.com/currencies/kyber-network/,20814000.0,https://kyber.network/,https://t.me/kybernetwork,2017-09-25,20
71,Polymath,https://coinmarketcap.com/currencies/polymath-network/,POLY,https://www.feixiaohao.com/currencies/polymath-network/,6215940.0,https://www.polymath.network/,https://t.me/PolymathNetwork,2018-02-03,7
72,Huobi Token,https://coinmarketcap.com/currencies/huobi-token/,HT,https://www.feixiaohao.com/currencies/huobi-token/,121428000.0,https://www.huobi.pro/,,2018-02-04,0
73,Cortex,https://coinmarketcap.com/currencies/cortex/,CTXC,https://www.feixiaohao.com/currencies/cortex/,75102400.0,http://www.cortexlabs.ai/,https://t.me/CortexBlockchain,2018-04-17,9
74,Bancor,https://coinmarketcap.com/currencies/bancor/,BNT,https://www.feixiaohao.com/currencies/bancor/,13838600.0,https://bancor.network/,https://telegram.me/bancor,2017-06-13,14
75,Gas,https://coinmarketcap.com/currencies/gas/,GAS,https://www.feixiaohao.com/currencies/gas/,5306960.0,https://neo.org/,,,12
76,Elastos,https://coinmarketcap.com/currencies/elastos/,ELA,https://www.feixiaohao.com/currencies/elastos/,13643700.0,https://www.elastos.org/,"https://t.me/elastosgroup , https://elastos.slack.com/",2018-02-01,2
77,Fusion,https://coinmarketcap.com/currencies/fusion/,FSN,https://www.feixiaohao.com/currencies/fusion/,7150750.0,https://fusion.org/,https://t.me/FUSIONFoundation,2018-02-17,5
78,Syscoin,https://coinmarketcap.com/currencies/syscoin/,SYS,https://www.feixiaohao.com/currencies/syscoin/,24353900.0,http://syscoin.org,https://t.me/joinchat/AAAAAEHzByog3h1qutnjhQ,2014-08-16,9
79,ReddCoin,https://coinmarketcap.com/currencies/reddcoin/,RDD,https://www.feixiaohao.com/currencies/reddcoin/,6544150.0,http://www.reddcoin.com/,,2014-02-02,7
80,GXChain,https://coinmarketcap.com/currencies/gxchain/,GXS,https://www.feixiaohao.com/currencies/gxchain/,14198700.0,https://gxs.gxb.io/,https://t.me/GXB_International,,0
81,Cryptonex,https://coinmarketcap.com/currencies/cryptonex/,CNX,https://www.feixiaohao.com/currencies/cryptonex/,1635780.0,https://cryptonex.org/,,2017-10-08,2
82,Ethos,https://coinmarketcap.com/currencies/ethos/,ETHOS,https://www.feixiaohao.com/currencies/ethos/,6109990.0,https://www.ethos.io/,,,0
83,Skycoin,https://coinmarketcap.com/currencies/skycoin/,SKY,https://www.feixiaohao.com/currencies/skycoin/,1853990.0,http://skycoin.net/,,,4
84,MonaCoin,https://coinmarketcap.com/currencies/monacoin/,MONA,https://www.feixiaohao.com/currencies/monacoin/,2385300.0,http://monacoin.org,,2013-12-01,9
85,Dragonchain,https://coinmarketcap.com/currencies/dragonchain/,DRGN,https://www.feixiaohao.com/currencies/dragonchain/,2929510.0,https://dragonchain.com/,https://t.me/dragontalk,2017-12-04,9
86,Substratum,https://coinmarketcap.com/currencies/substratum/,SUB,https://www.feixiaohao.com/currencies/substratum/,5105430.0,https://substratum.net/,https://t.me/SubstratumCommunity,2017-09-26,8
87,QASH,https://coinmarketcap.com/currencies/qash/,QASH,https://www.feixiaohao.com/currencies/qash/,1881720.0,https://liquid.plus/,https://t.me/QUOINE,2017-11-22,10
88,CyberMiles,https://coinmarketcap.com/currencies/cybermiles/,CMT,https://www.feixiaohao.com/currencies/cybermiles/,84987200.0,https://www.cybermiles.io/,https://t.me/cybermilestoken,2017-12-07,8
89,Veritaseum,https://coinmarketcap.com/currencies/veritaseum/,VERI,https://www.feixiaohao.com/currencies/veritaseum/,575356.0,http://veritas.veritaseum.com/,,,3
90,Matrix AI Network,https://coinmarketcap.com/currencies/matrix-ai-network/,MAN,https://www.feixiaohao.com/currencies/matrix-ai-network/,2181790.0,https://www.matrixchain.io/,https://t.me/matrixainetwork,2018-01-28,10
91,Storm,https://coinmarketcap.com/currencies/storm/,STORM,https://www.feixiaohao.com/currencies/storm/,42528100.0,https://stormtoken.com/,https://t.me/joinchat/GHTZGQwsy9mZk0KFEEjGtg,2017-12-21,8
92,Centrality,https://coinmarketcap.com/currencies/centrality/,CENNZ,https://www.feixiaohao.com/currencies/centrality/,248298.0,https://www.centrality.ai/,,2018-03-14,1
93,Enigma,https://coinmarketcap.com/currencies/enigma-project/,ENG,https://www.feixiaohao.com/currencies/enigma-project/,5361330.0,https://enigma.co/,"https://t.me/enigmacatalyst , https://discord.gg/SJK32GY",2017-10-14,12
94,Kin,https://coinmarketcap.com/currencies/kin/,KIN,https://www.feixiaohao.com/currencies/kin/,1665060.0,"http://kinecosystem.org/ , https://kin.kik.com",https://t.me/kincurrency,2017-09-28,10
95,ZCoin,https://coinmarketcap.com/currencies/zcoin/,XZC,https://www.feixiaohao.com/currencies/zcoin/,1232120.0,https://zcoin.io,https://discordapp.com/invite/4FjnQ2q,2016-09-01,10
96,iExec RLC,https://coinmarketcap.com/currencies/rlc/,RLC,https://www.feixiaohao.com/currencies/rlc/,42608200.0,http://iex.ec/,https://slack.iex.ec/,2017-04-19,12
97,SALT,https://coinmarketcap.com/currencies/salt/,SALT,https://www.feixiaohao.com/currencies/salt/,5535750.0,https://www.saltlending.com/,"https://t.me/SALTLendingDiscussion , https://discordapp.com/invite/4S9eFBK",2017-09-30,10
98,Gifto,https://coinmarketcap.com/currencies/gifto/,GTO,https://www.feixiaohao.com/currencies/gifto/,16663200.0,https://gifto.io/,"https://t.me/GIFTOOfficial , https://open.kakao.com/o/ggLQMiC",2017-12-19,10
99,ChainLink,https://coinmarketcap.com/currencies/chainlink/,LINK,https://www.feixiaohao.com/currencies/chainlink/,1163230.0,https://smartcontract.com/,,2017-09-21,10
100,Nxt,https://coinmarketcap.com/currencies/nxt/,NXT,https://www.feixiaohao.com/currencies/nxt/,2763380.0,https://nxt.org/,https://t.me/NXTCommunity,2013-11-24,11
101,WAX,https://coinmarketcap.com/currencies/wax/,WAX,https://www.feixiaohao.com/currencies/wax/,5995210.0,https://wax.io/,"https://t.me/wax_io , https://t.me/waxtokenannoucements",2017-12-22,13
102,Nuls,https://coinmarketcap.com/currencies/nuls/,NULS,https://www.feixiaohao.com/currencies/nuls/,7572550.0,https://nuls.io/,"https://t.me/Nulsio , https://join.slack.com/t/nuls/shared_invite/enQtMjQ4MTM4ODAyNTI4LWJjNGMwYTE0YjRlYmFlZGUwM2JhOGE4MDIwZmE4MzA2MDg1YzUyMmVkN2RhZjkyNWMzZjY5ZDU5ZmViMjZjNGQ",2017-10-26,10
103,Power Ledger,https://coinmarketcap.com/currencies/power-ledger/,POWR,https://www.feixiaohao.com/currencies/power-ledger/,9437570.0,https://powerledger.io/,https://t.me/joinchat/Gop-90DIMiPF7N_EtvFzjA,2017-11-02,11
104,Electroneum,https://coinmarketcap.com/currencies/electroneum/,ETN,https://www.feixiaohao.com/currencies/electroneum/,712178.0,http://electroneum.com/,https://t.me/joinchat/DxoSakHOdk5mqsE-LelfVg,2017-11-03,3
105,Neblio,https://coinmarketcap.com/currencies/neblio/,NEBL,https://www.feixiaohao.com/currencies/neblio/,8568100.0,https://nebl.io/,https://t.me/joinchat/GFVgz0G-oVXOIJGfFYD-vg,2017-09-13,6
106,Monaco,https://coinmarketcap.com/currencies/monaco/,MCO,https://www.feixiaohao.com/currencies/monaco/,24027300.0,https://www.mona.co/,https://t.me/MonacoCard,2017-07-04,19
107,Revain,https://coinmarketcap.com/currencies/revain/,R,https://www.feixiaohao.com/currencies/revain/,2823160.0,https://revain.org/,https://t.me/joinchat/CzZcC0PCgpJcbBCb3JfNeQ,2017-11-02,9
108,Factom,https://coinmarketcap.com/currencies/factom/,FCT,https://www.feixiaohao.com/currencies/factom/,952500.0,http://factom.org/,,2015-09-05,6
109,MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/,MAID,https://www.feixiaohao.com/currencies/maidsafecoin/,1258890.0,http://maidsafe.net,,2006-02-03,4
110,BnkToTheFuture,https://coinmarketcap.com/currencies/bnktothefuture/,BFT,https://www.feixiaohao.com/currencies/bnktothefuture/,3808900.0,https://bf-token.bnktothefuture.com/#!/,https://t.me/bf_token,2018-03-23,4
111,DeepBrain Chain,https://coinmarketcap.com/currencies/deepbrain-chain/,DBC,https://www.feixiaohao.com/currencies/deepbrain-chain/,8263050.0,https://www.deepbrainchain.org/,http://t.me/deepbrainchain,2017-12-29,5
112,TenX,https://coinmarketcap.com/currencies/tenx/,PAY,https://www.feixiaohao.com/currencies/tenx/,9407980.0,https://www.tenx.tech/,,2017-07-27,21
113,All Sports,https://coinmarketcap.com/currencies/all-sports/,SOC,https://www.feixiaohao.com/currencies/all-sports/,26059400.0,https://www.allsportschain.com/,https://t.me/allsportschain,,0
114,Paypex,https://coinmarketcap.com/currencies/paypex/,PAYX,https://www.feixiaohao.com/currencies/paypex/,17243.6,https://paypex.org/,"https://t.me/paypex , https://paypex.slack.com/",2017-11-17,1
115,True Chain,https://coinmarketcap.com/currencies/true-chain/,TRUE,https://www.feixiaohao.com/currencies/true-chain/,221369000.0,http://www.truechain.pro,,,0
116,Nucleus Vision,https://coinmarketcap.com/currencies/nucleus-vision/,NCASH,https://www.feixiaohao.com/currencies/nucleus-vision/,3065050.0,https://nucleus.vision/,"https://t.me/NucleusVision , https://t.me/nucleuskorea",2018-02-27,0
117,Holo,https://coinmarketcap.com/currencies/holo/,HOT,https://www.feixiaohao.com/currencies/holo/,1684230.0,"https://holochain.org/ , https://holo.host",http://t.me/channelHolo,2018-04-29,1
118,Theta Token,https://coinmarketcap.com/currencies/theta-token/,THETA,https://www.feixiaohao.com/currencies/theta-token/,9892830.0,https://www.thetatoken.org/,https://t.me/joinchat/Gt6mbxJb-2XukwGA_atLjg,2018-01-17,0
119,Request Network,https://coinmarketcap.com/currencies/request-network/,REQ,https://www.feixiaohao.com/currencies/request-network/,983150.0,https://request.network/,"https://t.me/requestnetwork , https://open.kakao.com/o/g0Y6wJA",2017-10-21,17
120,Emercoin,https://coinmarketcap.com/currencies/emercoin/,EMC,https://www.feixiaohao.com/currencies/emercoin/,1255670.0,http://emercoin.com/,https://t.me/emercoin_official,2013-12-08,9
121,Byteball Bytes,https://coinmarketcap.com/currencies/byteball/,GBYTE,https://www.feixiaohao.com/currencies/byteball/,198909.0,"https://byteball.org/ , https://wiki.byteball.org/Main_Page",https://t.me/byteball,2017-01-30,4
122,Decentraland,https://coinmarketcap.com/currencies/decentraland/,MANA,https://www.feixiaohao.com/currencies/decentraland/,4381790.0,https://decentraland.org/,"https://chat.decentraland.org/ , https://t.me/dcl_market",2017-09-18,25
123,Nexo,https://coinmarketcap.com/currencies/nexo/,NEXO,https://www.feixiaohao.com/currencies/nexo/,5564390.0,http://nexo.io,https://t.me/nexofinance,2018-05-01,7
124,Achain,https://coinmarketcap.com/currencies/achain/,ACT,https://www.feixiaohao.com/currencies/achain/,19917100.0,https://www.achain.com/,https://t.me/joinchat/GbZKzQ5-wexioFquTyAXmg,2017-08-27,16
125,Bottos,https://coinmarketcap.com/currencies/bottos/,BTO,https://www.feixiaohao.com/currencies/bottos/,6576630.0,https://www.bottos.org/,https://t.me/bottosworld,2018-01-14,10
126,Scry.info,https://coinmarketcap.com/currencies/scryinfo/,DDD,https://www.feixiaohao.com/currencies/scryinfo/,1219930.0,https://home.scry.info/,https://t.me/scryinfo1,,0
127,BitcoinDark,https://coinmarketcap.com/currencies/bitcoindark/,BTCD,https://www.feixiaohao.com/currencies/bitcoindark/,169495.0,http://bitcoindark.com/,http://slackinvite.supernet.org/,2014-07-09,2
128,Dropil,https://coinmarketcap.com/currencies/dropil/,DROP,https://www.feixiaohao.com/currencies/dropil/,97309.0,https://dropil.com,https://t.me/DropilCoin,2018-03-19,2
129,Storj,https://coinmarketcap.com/currencies/storj/,STORJ,https://www.feixiaohao.com/currencies/storj/,7198560.0,https://storj.io/,,2017-07-03,18
130,Particl,https://coinmarketcap.com/currencies/particl/,PART,https://www.feixiaohao.com/currencies/particl/,1378310.0,http://particl.io/,"https://t.me/particlproject , https://t.me/particlnews",2017-07-21,4
131,Civic,https://coinmarketcap.com/currencies/civic/,CVC,https://www.feixiaohao.com/currencies/civic/,6650960.0,https://www.civic.com/,,2017-07-18,19
132,Credits,https://coinmarketcap.com/currencies/credits/,CS,https://www.feixiaohao.com/currencies/credits/,3011320.0,https://credits.com/en,"https://t.me/creditscom , https://t.me/CREDITSoffical",2018-03-03,9
133,Iconomi,https://coinmarketcap.com/currencies/iconomi/,ICN,https://www.feixiaohao.com/currencies/iconomi/,553210.0,https://www.iconomi.net/,,2016-12-21,8
134,Nexus,https://coinmarketcap.com/currencies/nexus/,NXS,https://www.feixiaohao.com/currencies/nexus/,582852.0,http://www.nexusearth.com/,,,3
135,Time New Bank,https://coinmarketcap.com/currencies/time-new-bank/,TNB,https://www.feixiaohao.com/currencies/time-new-bank/,15148700.0,http://tnb.fund/,"https://t.me/tnbgroup , https://t.me/tnb_en",2017-11-28,1
136,Aragon,https://coinmarketcap.com/currencies/aragon/,ANT,https://www.feixiaohao.com/currencies/aragon/,384973.0,https://aragon.one/,,2017-05-17,8
137,Cindicator,https://coinmarketcap.com/currencies/cindicator/,CND,https://www.feixiaohao.com/currencies/cindicator/,910209.0,https://cindicator.com/,"https://t.me/cindicator_chat , https://t.me/cindicator_news",2017-10-14,5
138,ZenCash,https://coinmarketcap.com/currencies/zencash/,ZEN,https://www.feixiaohao.com/currencies/zencash/,418562.0,https://zencash.com/,"https://t.me/zencash , https://discord.gg/9kXQFHx",,7
139,POA Network,https://coinmarketcap.com/currencies/poa-network/,POA,https://www.feixiaohao.com/currencies/poa-network/,3656000.0,https://poa.network/,https://t.me/oraclesnetwork,2018-03-01,0
140,SmartCash,https://coinmarketcap.com/currencies/smartcash/,SMART,https://www.feixiaohao.com/currencies/smartcash/,167747.0,https://smartcash.cc/,,2017-07-22,3
141,Bibox Token,https://coinmarketcap.com/currencies/bibox-token/,BIX,https://www.feixiaohao.com/currencies/bibox-token/,51803300.0,https://www.bibox.com/,https://t.me/joinchat/GAi9vQ5BEjR0mAxK5cdHjA,2017-12-25,0
142,Game.com,https://coinmarketcap.com/currencies/game/,GTC,https://www.feixiaohao.com/currencies/game/,4464650.0,"http://game.com/ , https://gtc.game.com/",https://t.me/gameico,2018-01-04,0
