name,link,rating,start,end,website,telegram,telegram_count,facebook,facebook_count,twitter,twitter_count,symbol,platform,type,raised
vanig,https://icobench.com/ico/vanig/,4.5,23-Jul-18,25-Sep-18,https://vanig.io?utm_source=icobench,https://t.me/vanigplatform,19790,https://www.facebook.com/vanigplatform/,15795,https://twitter.com/VanigPlatform,16076,VANIG,Ethereum,ERC20,0
verasity,https://icobench.com/ico/verasity/,4.3,21-May-18,11-Jul-18,https://verasity.io/?utm_source=icobench,https://t.me/verasitychat,48914,https://www.facebook.com/verasitytech,283736,https://twitter.com/verasitytech,11686,VRA,Ethereum,ERC20,0
wemark,https://icobench.com/ico/wemark/,4.6,24-Jul-18,7-Aug-18,https://tge.wemark.com?utm_source=icobench,https://t.me/wemark,10577,https://www.facebook.com/WemarkOfficial/,10728,https://twitter.com/_wemark,7609,WMK,Ethereum,ERC20,0
worldopoly,https://icobench.com/ico/worldopoly/,4.7,27-Jun-18,27-Aug-18,https://worldopoly.io?utm_source=icobench,https://t.me/worldopoly,46202,https://www.facebook.com/worldopoly/,10037,https://twitter.com/worldopoly,10505,WPT,Ethereum,ERC20,0
wpp,https://icobench.com/ico/wpp/,4.7,1-Jul-18,1-Sep-18,https://wppenergy.io?utm_source=icobench,https://t.me/WPPEnergy,10690,https://www.facebook.com/WPP-Energy-575263249486648/,833,https://twitter.com/wppenergycoin,20650,WPP,Ethereum,ERC20,0
zerostate,https://icobench.com/ico/zerostate/,4.9,21-Mar-18,31-Aug-18,https://zerostate.io/?utm_source=icobench,https://t.me/zerostate_chat,6711,https://www.facebook.com/zerostate.info/,6008,https://twitter.com/ZeroStateDapp,6221,ZSC,Ethereum,ERC20,0
zichain,https://icobench.com/ico/zichain/,4.3,21-May-18,31-Aug-18,http://www.zichain.io/?utm_source=icobench,https://t.me/Zichain_EN,6847,https://www.facebook.com/zichainecosystem/,29979,https://twitter.com/Zichain1/,4314,ZCN,Ethereum,ERC20,0
agrotechfarm,https://icobench.com/ico/agrotechfarm/,4,1-Jun-18,31-Jul-18,https://www.agrotechfarm.io/?utm_source=Ico&utm_medium=Rating&utm_campaign=icobench-com,https://t.me/icoATF,21285,https://www.facebook.com/AgroTechFarmICO/,6079,https://twitter.com/agro_tech_farm,2160,ATF,Ethereum,ERC20,0
aimedis,https://icobench.com/ico/aimedis/,4.4,15-May-18,26-Jun-18,https://aim.aimedis.com?utm_source=icobench,https://t.me/aimedistoken,29836,https://www.facebook.com/aimedisglobal/,8749,https://twitter.com/AimedisGlobal,1313,AIM,Ethereum,ERC20,0
alehub,https://icobench.com/ico/alehub/,4.6,25-Jul-18,24-Sep-18,https://alehub.io?utm_source=icobench,https://t.me/alehub,69057,https://www.facebook.com/alehub.io/,1700,https://twitter.com/alehub_io,33053,ALE,Ethereum,ERC20,0
alethena,https://icobench.com/ico/alethena/,3.7,6-Jun-18,27-Jun-18,https://www.alethena.com/?utm_source=icobench,https://t.me/Alethena_OFFICIAL,507,https://www.facebook.com/alethena/,2238,https://twitter.com/alethena_rating,444,ATH,Ethereum,ERC20,0
alluxe,https://icobench.com/ico/alluxe/,3.3,28-Jun-18,26-Jul-18,https://alluxe.io/?utm_source=icobench,https://t.me/ALLUXE,7828,https://www.facebook.com/alluxeapp,439,https://twitter.com/ALLUXE_,6752,LXC,Ethereum,ERC20,0
araw,https://icobench.com/ico/araw/,4.3,1-Jul-18,31-Jul-18,https://arawtoken.io?utm_source=icobench,https://t.me/ArawTokenOfficial,84957,https://www.facebook.com/arawtoken,1949,https://twitter.com/arawtoken,72568,ARAW,ERC20,Ethereum,0
b21,https://icobench.com/ico/b21/,3.8,15-Jul-18,14-Aug-18,http://www.b21.io/#/ico?utm_source=icobench,https://t.me/B21Official,7246,https://www.facebook.com/B21Official/,5564,https://twitter.com/B21Official,4020,B21,Ethereum,ERC20,0
bithemoth,https://icobench.com/ico/bithemoth/,3.6,30-Jun-18,31-Jul-18,https://bithemoth.com?utm_source=icobench,https://t.me/joinchat/H9BMmlFz_8LWfLq2CgLniA,2210,https://www.facebook.com/bithemoth/,56,https://twitter.com/bithemoth,2858,BHM,Ethereum,ERC20,0
bitscreener,https://icobench.com/ico/bitscreener/,4.4,19-May-18,4-Jul-18,https://tokensale.bitscreener.com/?utm_source=icobench,https://t.me/bitscreener,5819,https://www.facebook.com/bitscreenercom/,2779,https://twitter.com/BitScreener,5377,BITX,Ethereum,ERC20,0
cryptocean,https://icobench.com/ico/cryptocean/,4.3,15-May-18,15-Jul-18,https://cryptocean.io?utm_source=icobench,https://t.me/cryptocean_en,3703,https://www.facebook.com/Cryptocean1/,1354,https://twitter.com/Cryptocean1,3693,CRON,Ethereum,Utility,0
cyclean,https://icobench.com/ico/cyclean/,4.6,27-Jun-18,31-Aug-18,http://cyclean.io/?utm_source=icobench,https://t.me/cycleancoin,52,https://www.facebook.com/cyclean.official,12077,https://twitter.com/cycleancoin,2253,CCL,Ethereum,ERC20,0
dataeum,https://icobench.com/ico/dataeum/,4.5,2-Jul-18,5-Aug-18,https://dataeum.com?utm_source=icobench,https://t.me/dataeum,5339,https://www.facebook.com/dataeum/,3866,https://twitter.com/dataeum,3676,XDT,Ethereum,ERC20,0
enkronos,https://icobench.com/ico/enkronos/,3.8,14-Jun-18,16-Jul-18,https://ico.enkronos.com/?utm_source=icobench,https://t.me/enkronos,1665,https://www.facebook.com/enkronos/,7068,https://twitter.com/enkronos/,4532,ENK,Ethereum,ERC20,0
etherinc,https://icobench.com/ico/etherinc/,4.5,15-Jul-18,15-Jul-18,https://einc.io?utm_source=icobench,https://t.me/eIncHQ,26542,https://www.facebook.com/pg/eincofficial,2417,https://twitter.com/eIncHQ,9162,ETI,Ethereum,ERC20,0
expercoin,https://icobench.com/ico/expercoin/,4,1-Jun-18,31-Jul-18,https://www.expercoin.com?utm_source=icobench,https://t.me/Expercoin,19635,https://www.facebook.com/Expercoin,31379,https://twitter.com/expercoin,8883,EXPR,Ethereum,ERC20,0
hyperquant,https://icobench.com/ico/hyperquant/,4.9,1-Jun-18,1-Jul-18,https://hyperquant.net?utm_source=icobench,https://t.me/hyperquant,7111,https://www.facebook.com/hyperquant.net/,6846,https://twitter.com/hyperquant_net,1059,HQT,Ethereum,ERC20,0
idap-io,https://icobench.com/ico/idap-io/,4.4,25-Jun-18,24-Jul-18,https://www.idap.io/?utm_source=icobench,https://t.me/idap_io,13175,https://www.facebook.com/idapio.exchange/,3822,https://twitter.com/idap_io,2403,IDAP,Ethereum,ERC20,0
idmoney,https://icobench.com/ico/idmoney/,3.8,1-Jun-18,30-Jun-18,https://idmoney.io?utm_source=icobench,https://t.me/idmoney_eng,1147,https://www.facebook.com/idmoney/,909,https://twitter.com/IDMoneyHDN,709,IDM,Ethereum,ERC20,0
intro,https://icobench.com/ico/intro/,4.9,1-Jun-18,31-Jul-18,http://introa.io/en/?utm_source=icobench,https://t.me/introa_en,14308,https://www.facebook.com/introrus,7745,https://twitter.com/INTRO_io,8136,ITR,Ethereum,ERC20,0
ip-gold,https://icobench.com/ico/ip-gold/,4.7,29-May-18,11-Jul-18,https://ip.gold/?utm_source=icobench,https://t.me/ipgoldHQ,25071,https://www.facebook.com/IPGoldHQ/,414,https://twitter.com/IpGoldHQ,19434,IPG,Ethereum,ERC20,0
justhive,https://icobench.com/ico/justhive/,4.5,21-May-18,31-Oct-18,https://company.justhive.com/#home?utm_source=icobench,https://t.me/justhivetoken,406,https://www.facebook.com/JustHive/,608,https://twitter.com/justhive,66,JHT,Ethereum,ERC20,0
kepler-technologies,https://icobench.com/ico/kepler-technologies/,4.8,26-Jun-18,17-Jul-18,https://keplertek.org?utm_source=icobench,https://t.me/joinchat/HR5jUxKGkD4XY3y1v6Pmow,86233,https://www.facebook.com/Keplertek/,44695,https://twitter.com/KeplerTek,38109,KEP,Ethereum,ERC20,0
kuende,https://icobench.com/ico/kuende/,4.1,1-Jul-18,30-Jul-18,https://ico.kuende.com/?utm_source=icobench,http://t.me/kuende,3887,https://www.facebook.com/Kuende.world,5649,https://twitter.com/kuende_com,878,KUE,Ethereum,ERC20,0
lendsbay,https://icobench.com/ico/lendsbay/,4,18-Jun-18,29-Jul-18,https://lendsbay.io?utm_source=icobench,https://t.me/lendsbayeng,11318,https://www.facebook.com/lendsbay,9189,https://twitter.com/LendsBay,12093,LBU,Ethereum,ERC20,0
opet-foundation,https://icobench.com/ico/opet-foundation/,4.2,18-May-18,31-Jul-18,http://opetfoundation.com?utm_source=icobench,https://t.me/OpetfoundationGroup,92065,https://www.facebook.com/Opetfoundation/,6968,https://twitter.com/opetfoundation,28088,OPET,Ethereum,ERC20,0
osa,https://icobench.com/ico/osa/,4.8,21-May-18,3-Jul-18,https://www.osadc.io?utm_source=icobench,https://t.me/osadecentralized,77069,https://www.facebook.com/OSAdecentralized/,18508,https://twitter.com/global_OSADC,875,OSA,Ethereum,ERC20,0
pavocoin,https://icobench.com/ico/pavocoin/,4.6,27-Apr-18,6-Aug-18,https://www.pavocoin.com/?utm_source=listing&utm_medium=icobench,https://t.me/pavo_en,59777,https://www.facebook.com/PavoIoT/,1718,https://twitter.com/PavoIoT/,2522,PAVO,Ethereum,ERC20,0
peer-mountain,https://icobench.com/ico/peer-mountain/,4.1,6-Mar-18,30-Jun-18,http://www.peermountain.com?utm_source=icobench,https://t.me/peermountain,4467,https://www.facebook.com/Peer-Mountain-489107644789749/,1284,https://twitter.com/PeerMountain,3131,PMTN,Ethereum,ERC20,0
placetorent,https://icobench.com/ico/placetorent/,4.4,4-Jun-18,4-Jul-18,https://www.placetorent.com?utm_source=icobench,https://t.me/placetorentico,804,https://www.facebook.com/Placetorentico/,3348,https://twitter.com/placetorent,973,PTRT,Ethereum,ERC20,0
qurrex,https://icobench.com/ico/qurrex/,4.2,10-Jun-18,30-Jun-18,https://qurrex.com/?utm_source=icobench,https://t.me/qurrex,3010,https://www.facebook.com/qurrex/,5314,https://twitter.com/qurrex,4361,Qurrex / QRX,Ethereum,ERC20,0
rawg,https://icobench.com/ico/rawg/,4.7,22-May-18,4-Sep-18,https://token.rawg.io/?utm_source=icobench,https://t.me/RAWGeng,9254,https://www.facebook.com/rawgtheworld/,6374,https://twitter.com/rawgtheworld,7421,RAWG,Ethereum,ERC20,0
sid-token,https://icobench.com/ico/sid-token/,4.7,15-Jun-18,14-Sep-18,https://shareinternetdata.io?utm_source=icobench,https://t.me/joinchat/GS3SRQ9C42Dy-m4-ABY0UQ,427,https://www.facebook.com/shareinternetdata,1568,https://twitter.com/sid_frinwo,2454,SIDT,Stellar,Utility,0
silkchain,https://icobench.com/ico/silkchain/,3.9,7-Jun-18,10-Jul-18,https://www.silkchain.io/?utm_source=icobench,https://t.me/silkchain,90520,https://www.facebook.com/SilkChain.IO,80180,https://twitter.com/SilkChain_IO,58549,SILK,Ethereum,ERC20,0
squeezer,https://icobench.com/ico/squeezer/,4.7,20-Jun-18,30-Jun-18,https://tokensale.squeezer.io/?utm_source=icobench&utm_medium=cpm&utm_campaign=icobench,https://telegram.me/squeezerio,23695,https://www.facebook.com/squeezerframework/,4213,https://twitter.com/SqueezerIO,26195,SQR,Ethereum,ERC20,0
tresaro,https://icobench.com/ico/tresaro/,3.7,10-Aug-18,10-Oct-18,https://tresaro.com?utm_source=icobench,https://t.me/tresaro,3974,https://www.facebook.com/tresaro/,2962,https://twitter.com/tresarocom,3709,TRE,Ethereum,ERC20,0
trimpo,https://icobench.com/ico/trimpo/,4.5,15-May-18,15-Jul-18,https://trimpo.io/?utm_source=icobench,https://t.me/TrimpoChat,5054,https://www.facebook.com/TrimpoPage,906,https://twitter.com/TrimpoPage,636,TRIMPO,Ethereum,ERC20,0
trustlogics,https://icobench.com/ico/trustlogics/,4.5,25-Jul-18,20-Aug-18,https://www.trustlogics.io?utm_source=icobench,https://t.me/trustlogics,7153,https://www.facebook.com/trustlogicsus/,8881,https://twitter.com/TrustLogicsUS,5941,TLT,Ethereum,ERC20,0
